year,govt debt,revenue_exp %growth,revenue expenditure,capital_exp %growth,capital expenditure,total_exp %growth,FDI,total expenditure,agriculture expenditure,rural development expenditure,energy expenditure,industry and minerals expenditure,internal debt in % of GDP,transport expenditure,internal debt,exchange rate,govt debt in % of GDP,FDI in % of GDP,GDP
2004,443.784,-19.595,0.018,56.98,0.005,-6.713,5.428,0.024,0.001,0.001,0.001,0.0,39.71,0.002,0.062,45.32,62.593,0.766,0.156
2005,510.258,-10.474,0.022,1.172,0.003,-8.488,7.266,0.026,0.001,0.002,0.002,0.001,38.431,0.003,0.071,44.1,62.227,0.886,0.186
2006,560.867,-9.534,0.024,-39.214,0.003,-31.824,20.024,0.028,0.001,0.002,0.004,0.001,36.274,0.004,0.075,45.31,59.667,2.13,0.207
2007,701.47,-16.588,0.027,46.078,0.005,-10.734,25.295,0.042,0.002,0.004,0.006,0.002,35.674,0.006,0.105,41.35,57.498,2.073,0.295
2008,687.507,6.724,0.032,-1.911,0.004,6.811,43.446,0.047,0.002,0.004,0.008,0.002,38.685,0.007,0.107,43.51,57.292,3.621,0.276
2009,740.436,-16.387,0.03,-31.335,0.004,-23.647,35.531,0.044,0.002,0.003,0.006,0.002,35.893,0.006,0.099,48.41,55.256,2.652,0.277
2010,866.744,-2.165,0.036,6.37,0.005,-4.394,27.469,0.057,0.002,0.004,0.009,0.002,34.716,0.008,0.128,45.73,51.592,1.635,0.367
2011,938.329,7.618,0.037,11.003,0.005,21.261,36.438,0.06,0.001,0.002,0.006,0.002,38.034,0.004,0.148,46.67,51.557,2.002,0.39
2012,927.408,-0.785,0.034,-2.692,0.005,1.345,24.027,0.049,0.001,0.001,0.006,0.001,38.494,0.004,0.132,53.44,50.678,1.313,0.342
2013,935.8,3.471,0.035,5.587,0.005,13.795,28.203,0.049,0.0,0.0,0.005,0.001,40.304,0.003,0.133,56.57,50.312,1.516,0.329
2014,1017.979,4.579,0.033,-14.786,0.004,-5.18,34.591,0.043,0.0,0.0,0.004,0.001,37.264,0.005,0.122,62.33,49.901,1.696,0.327
2015,1049.259,-6.273,0.032,-8.395,0.005,0.992,43.934,0.045,0.0,0.0,0.005,0.001,40.116,0.006,0.134,62.97,49.965,2.092,0.333
2016,1090.813,0.126,0.034,20.354,0.006,-4.059,44.366,0.045,,,,,37.787,,0.13,66.46,47.634,1.937,0.345
2017,1260.966,-2.527,0.034,-10.943,0.005,-1.094,39.944,0.047,,,,,35.768,,0.14,67.79,47.584,1.507,0.391
2018,1256.107,-14.068,0.035,-7.772,0.005,-13.079,42.072,0.047,,,,,37.86,,0.146,70.09,46.522,1.558,0.385
2019,1326.28,-17.161,0.041,-14.423,0.006,-9.882,50.689,0.054,,,,,40.681,,0.164,70.39,46.7,1.785,0.403
2020,1471.17,-5.116,0.049,-29.174,0.007,-11.818,64.324,0.06,,,,,49.265,,0.172,76.38,55.1,2.409,0.35
2021,1723.365,1.417,0.052,-10.783,0.01,7.829,44.723,0.068,,,,,49.391,,0.209,74.57,54.71,1.42,0.422
2022,1896.39,-0.505,0.051,-26.706,0.011,-5.661,49.989,0.063,,,,,47.615,,0.2,81.35,55.45,1.462,0.42
2023,2133.827,,0.051,,0.015,,55.308,0.067,,,,,48.563,,0.221,81.94,57.1,1.48,0.456
