year,revenue expenditure,capital expenditure,total expenditure,agriculture expenditure,rural development expenditure,energy expenditure,industry and minerals expenditure,transport expenditure,internal debt,exchange rate,gdp in billions of dollars,govt debt % of gdp,fdi% of gdp,fdi,govt debt
2008,182.44,20.72,203.16,6.78,15.28,34.1,8.97,29.27,464.22,43.51,1200.0,57.29,1.56,18.72,687.48
2009,188.35,23.28,211.63,8.34,15.93,31.04,9.31,28.82,480.96,48.41,1340.0,55.26,1.78,23.85,740.48
2010,227.58,34.25,261.83,10.07,17.59,42.59,11.33,34.44,583.23,45.73,1680.0,51.59,2.41,40.49,866.71
2011,245.51,33.98,279.49,3.65,7.84,28.31,7.11,19.4,692.23,46.67,1820.0,51.56,1.41,25.66,938.39
2012,232.69,31.22,263.92,3.33,7.26,34.13,6.26,19.45,704.45,53.44,1830.0,50.68,1.49,27.27,927.44
2013,242.49,33.18,275.67,1.73,0.22,30.19,7.78,17.77,749.65,56.57,1860.0,50.31,1.52,28.27,935.77
2014,235.36,31.55,266.91,1.76,0.48,27.52,7.3,28.64,760.19,62.33,2040.0,49.9,1.7,34.68,1017.96
2015,244.21,40.18,284.39,3.08,0.42,32.69,7.84,36.51,842.44,62.97,2100.0,49.96,2.09,43.89,1049.16
2016,254.38,42.82,297.2,,,,,,865.31,66.46,2290.0,47.63,1.94,44.43,1090.73
2017,277.15,38.82,315.97,,,,,,947.86,67.79,2650.0,47.58,1.51,40.02,1260.87
2018,286.4,43.9,330.31,,,,,,1022.23,70.09,2700.0,46.52,1.56,42.12,1256.04
2019,333.94,47.7,381.64,,,,,,1155.33,70.39,2840.0,46.7,1.78,50.55,1326.28
2020,403.71,55.82,459.52,,,,,,1315.39,76.38,2670.0,55.1,2.41,64.35,1471.17
2021,429.25,79.51,508.76,,,,,,1555.8,74.57,3150.0,54.71,1.42,44.73,1723.36
2022,425.19,89.52,514.72,,,,,,1628.43,81.35,3420.0,55.45,1.46,49.93,1896.39
2023,427.4,122.16,549.56,,,,,,1814.81,81.94,3737.0,57.1,1.48,55.31,2133.83
